id,type,expert_area,source_ref,question,context,status,answer_ref
gap-b12,generate,Tim,gap-report#B12,"Curate the house script style: the posts that show how we talk to families, so the bot can quote verbatim scripts in the house voice.",Curate Tim's posts. Source of verbatim scripts for the bot.,open,
gap-b13,generate,Dr. Alex,gap-report#B13,"Which external authorities do we defer to (TSBDE, AAPD, AHA, CDC), and on what topics does each get the last word?","Curate Dr. Alex's posts. Powers 'Alcan defers to X, which says...' answers.",open,
gap-b14,generate,John,gap-report#B14,"Build the glossary of Alcan-isms: Pro Move, DFI, short call list, huddle, and the rest of the vocabulary every other answer leans on.","Overlaps the S8 glossary shelf; treat as one item. Cheap to seed from docs/glossary.md plus the drafting work already done, then staff-voice it.",open,
gap-b15a,confirm,John,gap-report#B15,"Sign off (or amend) the staff bio policy sketch: bios are self-authored and opt-in, platform data never enters bio or corpus documents, compensation and HR history are always excluded, and the bot declines evaluative questions about people.",Policy sketch is drafted in the gap report pending John's sign-off. The platform-data firewall is the same class as the conversation-privacy consent rule and needs a system-prompt rule when bios land.,open,
gap-b15b,generate,John,gap-report#B15,"Write the short bio template each person fills in: name, role, location, what they own, how to reach them, background they choose to share, and one personal line in their own words.","Leadership first (overlaps gap-b6), then everyone. Blocked on gap-b15a sign-off.",open,
adj-emergency-action-plan-texas,adjudicate,Dr. Alex,conflict-group:emergency-action-plan-texas,"Is the June 2025 Kids Tooth Team Texas Emergency Action Plan the single current EAP for all Texas offices, making the 2020-2024 per-office Buda, South Austin, and Kyle plans historical?","17 items. Dr. Alex posted per-office plans yearly (Buda 2020-2024, South Austin 2021-2024, Kyle 2023-2024), then a consolidated 'Kids Tooth Team Texas Emergency Action Plan' plus a 2025 annual update in June 2025 (items 9162459702, 9162459715, with duplicate postings). If yes, only the 2025 pair stays in the corpus.",open,
adj-xray-operating-safety-procedures,adjudicate,Dr. Alex,conflict-group:xray-operating-safety-procedures,"Which x-ray operating and safety document should staff actually read: the KTT Texas X-Ray Safety and Operating Procedures Manual (posted 2023), the office template built on TX DSHS TAC 289.232 (2023), or the signed 2026 per-office sheets Raul posted in July 2026?","13 items. The 2023 manual (9162456057) and template (6378753690) carry the substance; the 2026 uploads (South Austin, Buda, Kyle, Pflugerville, Steiner Ranch) are signed compliance paperwork. Likely answer: manual is the reference, signed sheets are records, but confirm the manual is still current.",open,
adj-xray-frequency-protocol,adjudicate,Dr. Alex,conflict-group:xray-frequency-protocol,"Is there one current x-ray frequency protocol, or does each brand keep its own chart? Specifically: does the Sprout revision (3 PAs for ages 7-11 and 12+, per Dr. Justin, June 2025) apply everywhere, and is the 2023 KTT message still the Texas rule?","4 items. Dr. Alex's Sep 2023 KTT message: 2 or 4 bitewings plus 2 anterior PAs every 6 months for treated-decay/watch/high-risk kids, pano once 7s and 10s erupt then every 3-5 years. Sprout's chart was revised June 2025 to 3 PAs (2 upper, 1 lower) for 7+. Michigan has a 2023 PDF; Big Apple has its own 2024 sheet.",open,
adj-radiograph-refusal-policy,adjudicate,Dr. Alex,conflict-group:radiograph-refusal-policy,"Confirm the June 2025 radiograph refusal policy (x-rays required for comprehensive exams over age 4, one grace visit at recall only with no active concerns, no continued care past a year without radiographs for high-risk patients) is current and applies practice-wide across all brands.","3 items, same policy posted June 2025 in the doctors space (by Tim), KTT (by Dr. Alex), and Sprout (by Dr. Justin). No real conflict; one canonical copy should survive.",open,
adj-radiograph-records-requests,adjudicate,Tim,conflict-group:radiograph-records-requests,"Confirm the radiograph request protocol is current: outside images must arrive 24 hours before the appointment, we request exposure dates and DICOM format, and we may retake if quality is insufficient.","2 items: Dr. Justin's June 2025 Sprout doc (8780603588) and an archived April 2025 posting of the same protocol. Confirm it applies to all brands, not just Sprout.",open,
adj-after-hours-on-call-protocol,adjudicate,Dr. Alex,conflict-group:after-hours-on-call-protocol,"State the current after-hours protocol in one breath: who takes first call, which RDAs share call (Lead only, or Lead and Senior), the availability window (7am-10pm or 8am-10pm), the response time, and the current come-in stipend.","9 items spanning eras. 2022: external call group, $200 after-hours fee, $50 RDA call-in pay (5670594124). Dec 2024 (Colleen): only Lead RDAs, 7am-10pm, 15-minute response, $100 (8089225479). Dec 2025 (Dr. Alex): internal on-call replaces the call group effective Jan 1 2026, year-round press-2 voicemail managed by Lauren, 8am-10pm, $100 (9410617970). June 2026 schedule post says Lead AND Senior RDAs share coverage, notify Frank for the stipend (9956195553). Also: Aug 2025 pain-call escalation with 30-minute on-call fallback (9003828192).",open,
adj-quarterly-emergency-drill-process,adjudicate,Dr. Alex,conflict-group:quarterly-emergency-drill-process,"For the quarterly emergency drill: is Done Desk now the only place signed sheets go (not Basecamp folders), and where exactly in Done Desk does an office upload them?","3 items. Sep 2024 established the routine with upload to the office Basecamp folder (7856032784); June 2025 and April 2026 instances switched to Done Desk. April 2026 comments from two PMs asking where in Done Desk went unanswered (9835823618). Every doctor must complete it for malpractice compliance, with make-ups.",open,
adj-emergency-training-signin-sheet,adjudicate,Dr. Alex,conflict-group:emergency-training-signin-sheet,"Which blank emergency training sign-in sheet is the current one to print: the 2024 Alcan-branded quarterly sheet, or one of the older Michigan, Texas, or PM-space templates?","5 items, blank templates posted 2022-2024 across spaces. Likely the Sep 2024 Alcan sheet (9362178032) is canon; confirm and retire the rest.",open,
adj-exposure-incident-protocol,adjudicate,Dr. Alex,conflict-group:exposure-incident-protocol,Confirm the Alcan Blood and Body Fluid Incident Report and Protocol Template (posted 2023) is the current exposure form for all offices.,"3 items: identical template posted in Alcan, KTT, and KTT Texas spaces. A June 2026 comment still points a doctor at it, which suggests it is live. One canonical copy should survive.",open,
adj-waterline-testing-instructions,adjudicate,Ariyana,conflict-group:waterline-testing-instructions,"For waterline testing today: do offices use QuickPass, ProEdge mail-in, or both; and where do results get uploaded now (the 2023 post says Basecamp)?","8 items from April 2023: QuickPass in-office instructions (CDC 500 CFU/mL threshold, corrective actions) and ProEdge instructions, posted across MI, TX, and RDA spaces, plus Dr. Alex's Lead RDA reorg post with a video and upload locations (6026805184). Nothing newer than 2023; confirm the process still runs this way.",open,
adj-emergency-med-expiration-tracking-mi,adjudicate,Dr. Alex,conflict-group:emergency-med-expiration-tracking-mi,"Confirm the Lake Orion emergency equipment expiration to-do list is the live tracker doctors check monthly, and the late-2023 one-time medication expiration list is dead.","2 items. The one-time list (6873018470) has 2024-2026 expirations, all stale. The to-do tracker (6378763036) is described as the maintained master.",open,
adj-sedation-drug-logs,adjudicate,Dr. Alex,conflict-group:sedation-drug-logs,"Are the 2022 blank per-drug sedation logs (diazepam, hydroxyzine, meperidine, midazolam) still used now that the Alcan BMI and Sedation Calculator (Aug 2026) produces the sedation log that gets copied into the chart?","11 items: identical blank PDFs posted 2022 across doctors, KTT, and Steiner spaces. The Aug 2026 calculator rollout (see adj-bmi-presedation-checklist) has the doctor record final doses in the calculator and copy the log into the chart, which may retire these forms.",open,
adj-sedation-patient-screening,adjudicate,Dr. Alex,conflict-group:sedation-patient-screening,"Confirm the three sedation screening layers are all current and cumulative: the 2023 Alcan Sedation Safety Recommendations (AAPD-mirroring doses with the stricter 14mg midazolam cap, BMI dosing rules, exclusion list), the Feb 2026 maternal Venezuelan heritage rule (no in-office GA, hospital only), and the Aug 2026 sleep apnea framework for OCS candidacy.","3 items, different layers rather than contradictions, but the 2023 doc is the one the framework quotes and needs a current-or-not call, including whether the 14mg midazolam cap is practice policy or personal preference (the doc says doctors may go to the AAPD 20mg).",open,
adj-bmi-presedation-checklist,adjudicate,Dr. Alex,conflict-group:bmi-presedation-checklist,"Which presedation checklist is current (the Alcan 2025 PDF, the Feb 2026 KTT Texas version, or the further-updated one posted with the calculator rollout), and is the web calculator at mypromoves.com/sedation now mandatory for every hygiene and sedation visit?","5 items. Checklist PDFs: Alcan Mar 2025 (8451234916), MI Nov 2023, KTT Texas Feb 2026. Aug 2026 calculator rollout (10161337384 and the KTT copy 10151936031): RDA captures vitals and history, doctor completes dosing in the calculator; comments moved it from a Google Sheet to the website and posted an updated checklist keeping max local anesthetic and reversal doses on paper.",open,
adj-sedadent-patient-packet,adjudicate,Tim,conflict-group:sedadent-patient-packet,"Confirm the SedaDent 2024 v4 pediatric packet (English and Spanish, posted Feb 2024) is the current GA paperwork set and the 2022-era PPW packets are dead.","6 items: 2022 English/Spanish packets in two spaces, the 2024 v4 packet (7800927685), and the Feb 2024 announcement of both languages. Note the Feb 2025 Sedadent protocols update says the new packet no longer accepts credit card info.",open,
adj-ga-medicaid-preauth-process,adjudicate,Tim,conflict-group:ga-medicaid-preauth-process,"Confirm the Feb 2025 'NEW Sedadent Protocols' (per-MCO instructions PDF, flag whether UHC pre-auths included x-rays, verify active Medicaid coverage on the day of treatment before induction) fully supersede the 2022 GA Medicaid pre-auth process doc.","4 items. The 2022 doc (7800929103) has per-payer detail still not restated anywhere: DentaQuest/MCNA/UHC submission steps, D9222/D9223 codes, Sedadent NPI 1144597931 in notes, and the rule that patients 7 and over are auto-denied and need a letter of medical necessity. Decide what carries forward.",open,
adj-ga-22-point-sheet,adjudicate,Tim,conflict-group:ga-22-point-sheet,"Confirm the 22-point sheet process: parents sign at the GA consult, the sheet is uploaded with the Sedadent paperwork and e-signed by the doctor via Adobe (Sep 2024 update), and the TMHP 2021-revision blank form is still the right form.",3 items: the blank TMHP form posted twice (2022) and Colleen's Sep 2024 e-signature update (7796177260).,open,
adj-mcna-therapeutic-form,adjudicate,Tim,conflict-group:mcna-therapeutic-form,"Is the blank MCNA Dental Therapeutic form (posted 2022) still part of the Medicaid authorization paperwork, and is the posted version current?","2 items, same blank form in KTT and KTT Texas spaces.",open,
adj-ga-appointment-changes,adjudicate,Tim,conflict-group:ga-appointment-changes,"Who exactly may cancel or reschedule a GA appointment today: office managers only (Nov 2024 doc), doctors and practice managers only (Tim's comment on that doc), or practice managers for any change of any kind (June 2025)? And is the Michigan arrival-time-only communication rule (June 2026) practice-wide?","5 items. Jul 2024: DFIs may not answer any GA questions, all changes to PM (7621061455). Nov 2024 scripting doc: only an OM may cancel, with retention scripts; Tim's comment tightens to doctors and PMs only (9362178987, also posted in Sprout). Jun 2025: GA scheduled by check-in time, any change PM-only (8721841127). Jun 2026 MI: communicate only arrival time, never internal start time (10028737894).",open,
adj-ga-financial-policy,adjudicate,Tim,conflict-group:ga-financial-policy,"State the current GA money rules by region and payer: is the Texas PPO deposit still $200 refundable (2023), is the $200 non-refundable Medicaid case management fee from the 2022 GA script still charged, and are the Michigan deposits still $500 for mask down and $1000 for a full case (Aug 2024)?","5 items. 2023 TX protocol: $200 refundable PPO deposit with signed agreement, no Medicaid deposits allowed by policy, NCS form rules (7800916900). 2022 TC consult script: $200 non-refundable Medicaid dental case management fee (7800924936), which conflicts with the no-Medicaid-deposit rule. MI Aug 2024 notes: $500/$1000 deposits (7717431397). Jan 2025: GA-day collection flow, parent pays PM before recovery (8187079677). John kept 7717431397 with a stale flag.",open,
