action_id,role_name,domain,competency_name,text,description,resources_url,intervention_text,script,active
14,Front Desk,Cultural,Handling Critical Feedback,"When presented with critical feedback, I always remain calm and first restate the guardian's feedback","Take a breath before you speak. Restate what you heard to show you understand, it turns feedback from a hit to a handshake.",,Validation lowers the temperature. Practice saying: I want to make sure I hear you correctly. You're saying [X]? Ask a Lead to roleplay this with you for 60 seconds.,"Thanks for sharing that. It sounds like you're frustrated because you weren't expecting to have an outstanding balance today, is that right?",true
15,Front Desk,Case Acceptance,Establishing Credibility,"I always preview the patient's doctor by name, and comment specifically on that doctor's expertise or experience when scheduling an appointment",Drop the doctor’s name and one genuine detail about their skill. It makes families feel secure and reminds them they’re in good hands.,,"Building the doctor up builds the parent's confidence. Pick one specific strength for each doctor today (e.g., Great with anxiety) and use it in your next scheduling call.","You’ll be seeing Dr. Patel, she did her Dental Residency at the Children's Hospital in Baltimore, and has been practicing for almost 10 years! You're going to love her.",true
16,Front Desk,Case Acceptance,Facilitating Smooth Processes,I always inform the guardian about completing paperwork via the patient portal when scheduling or confirming appointments.,Give them a head start. A quick reminder about the portal saves time at check-in and makes the visit feel effortless for everyone.,,Front-loading paperwork saves everyone's sanity. Ask a Lead to show you the Portal Status view so you can spot missing forms before the patient walks in.,You should be receiving an email with a link to your patient portal here in a few minutes. Please take some time to go through these forms before your kiddo's appointment to ensure there aren't any delays in their appointment time!,true
17,Front Desk,Clinical,Patient Flow Coordination,"I always notify the practice manager then Lead RDA immediately if a patient has been ""Checked In"" and waiting for longer than 10 minutes","When wait times stretch, act fast. Loop in the right people early to solve the problem before it becomes one.",,Silence feels like indifference to a waiting parent. You are the alarm. Ask the Practice Manager today: How do you prefer I alert you when we hit the Red Zone?,,true
18,Front Desk,Cultural,Empathetic Practice Policy Education,"I always firmly and kindly inform 48-hr cancellations or reschedules of their consequence level, and the next consequence, before offering one last opportunity to keep the appointment.","Policies protect the schedule, but empathy protects relationships. Explain clearly, stay kind, and end with one last chance to keep the appointment.",,Tone is everything here. You want Firm Kindness. Read the specific Cancellation Policy script out loud twice before your next call to lock in the verbiage.,"I completely understand that things come up. Because we're within our 48 hour cancellation window, we would have to count this as a late change, which would mean that for your next appointment, we wouldn't be able to schedule anything in the morning or afternoon. Is there anyone else that could possibly bring Tommy in or maybe a different time that would work for you guys to come in today?",true
19,Dental Assistant,Clinical,Sterilization and Procedure Preparation,"I always use gloves only when handling contaminated instruments or chemicals, and remove them before touching anything clean or sterile.",Clean and sterile items stay safe when you use gloves only for what’s dirty. This habit prevents cross-contamination and protects both patients and the clinical team.,,Cross-contamination happens when we rush. Pause right now and visualize your Clean to Dirty flow. Ask a Lead RDA to audit your next room turnover.,,true
20,Dental Assistant,Cultural,Trust Building Interactions,"I always greet the patient by name, smile with eye contact, and introduce myself by name.","The first moments set the tone. A warm greeting with eye contact helps the child feel safe and helps parents relax, knowing you’re attentive and present.",,"A name is a safety signal. Look at the chart, say the name out loud to yourself, then go get the patient. Make eye contact immediately.","“Hi Maya! I’m Jordan, and I’ll be taking care of you today. It’s really good to see you.”",true
21,Dental Assistant,Clerical,Patient Record Management,I always check the patient memo and ensure a complete medical history before beginning the appointment,Reviewing memos and history before you start keeps everyone safe and prevents surprises. It helps you walk into the room prepared and confident.,,"Never fly blind. Read the Medical Alerts out loud to yourself before the patient sits down. If something looks odd, ask the Doctor.",,true
22,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"I always tell, show, do before performing any action on a patient.","Kids feel safer when they know what’s coming. Showing and explaining each step builds trust, reduces fear, and helps the visit go smoothly.",,Surprise equals fear. Never touch without talking. Practice your Tell script for the suction straw: It's just a thirsty straw that makes a slurping sound.,,true
23,Dental Assistant,Clerical,Coordinating Patient Flow,"I always immediately change patient status to ""In Chair"" when they are seated and ""Treatment Complete"" when they are ready to be checked out.",Updating status right away keeps the whole team coordinated. It helps the doctor see who’s ready and keeps families from waiting longer than necessary.,,"The status runs the board. If you don't click In Chair, the front desk thinks the room is empty. Update it the second they sit down.",,true
24,Dental Assistant,Cultural,Demonstrating Emotional Intelligence,"I always take a moment to assess the parent’s and patient’s mood after changing status to ‘In Chair,’ and I quietly share any concerns with the doctor.",Reading the room early helps the doctor understand what kind of visit it may be. Quietly passing along concerns allows the doctor to adjust their approach with care and sensitivity.,,"Read the room. If the parent looks anxious, whisper a heads-up to the Doctor before they enter. It helps them adjust their entry energy.",,true
25,Dental Assistant,Clinical,Mastery of Dental Procedures,I always verify that my Xrays are usable for the doctor before moving the patient from the Xray machine,Checking the image right away saves time and prevents repeat exposures. Ensuring clarity helps the doctor diagnose accurately and keeps the visit moving.,,"Don't guess on shadows. If the apex isn't clear, retake it immediately. A bad X-ray wastes the Doctor's time during the exam.",,true
26,Dental Assistant,Clerical,Office Task Management,I check Uptime and complete outstanding tasks prior to departure every day,"Finishing Uptime tasks daily keeps the practice safe, compliant, and ready for the next day. Consistent follow-through prevents surprises and protects patient care.",,"Don't leave it for the closer. If you have 5 minutes, wipe a counter or stock a drawer. Small acts now prevent late nights later.",,true
27,Dental Assistant,Case Acceptance,Clear Treatment Communication,"If I help explain a treatment plan, I always ask the parent ""How does that sound to you?"" or ""How are you feeling about this plan?"".",A gentle check-in helps parents feel heard and reassured. Asking how the plan feels opens the door for real questions before they become concerns.,,,"""So, like Dr. Alex said, we'll be starting with two extractions and then finishing up with a filling. Can I ask how that plan sounds to you?""",true
28,Dental Assistant,Clinical,Accurate Charting,I always ask the doctor to review my charting for accuracy before the doctor leaves the chair.,"A quick accuracy check prevents rework later. Confirming while the doctor is still present keeps charting clean, complete, and reliable.",,"Accuracy is a team sport. Before the Doctor leaves, ask: Just to confirm, we did DO on 3 and 14, correct? Catch the error now, not at billing.",,true
29,Dental Assistant,Clerical,Clerical Procedure Requirements,I always verify that proper consent forms have been completed prior to beginning the appointment,Confirming consents protects both the patient and the practice. A quick check at the start ensures care begins safely and legally.,,"No consent, no treatment. If the signature is missing, do not recline the chair. Ask the parent to sign on the iPad immediately.",,true
30,Dental Assistant,Cultural,Empathetic Practice Policy Education,"After scheduling the next appointment, I always verbally emphasize the importance keeping that appointment and the consequences for missing it.",A brief reminder sets expectations early. Emphasizing the importance helps families commit to care and prevents unnecessary delays in treatment.,,,"Ok, so we've got that scheduled for Tuesday the 4th of next month. It's really important to keep that appointment in order for us to stay on track for your child's oral health",true
31,Dental Assistant,Case Acceptance,Effective Objection Handling,"When a parent is uncertain about a procedure, I always reassure them about the importance of the procedure, and inform the doctor about the conversation",Parents worry because they care. Offering calm reassurance and looping in the doctor keeps communication clear and helps families feel supported.,,"Validate, don't argue. Say: It makes sense that you are worried about [X]. Here is why we recommend it... Connect it to safety.","""I totally understand being a little worried about a first filling. It's really important that we remove the decay from the tooth. We're going to work hard to make sure Jessie is as comfortable as possible the whole time""",true
32,Dental Assistant,Cultural,Handling Constructive Feedback,"When responding to frustration, I always remain calm and first attempt to restate the guardian's complaint.",Starting with calmness keeps tough conversations productive. Restating what you heard shows that you’re listening and takes the tension out of the moment.,,,"“So what I’m hearing is that the wait today felt longer than you expected, and that made things stressful — is that right?”",true
33,Dental Assistant,Case Acceptance,Establishing Credibility,"I always preview the patient's doctor by name, and comment specifically on that doctor's expertise or experience",Introducing the doctor with a quick note about their skill builds instant confidence. It helps parents feel at ease before the doctor even enters the room.,,Sell the expert. Dr. Jones is amazing at these fillings. Transfer your trust to the parent.,"You'll be seeing Dr. Rivera today. She did her residency at the Children's Hospital in Baltimore, and is very experienced. You're in good hands.",true
34,Dental Assistant,Case Acceptance,Empowering Informed Decisions,"When confirming next steps, I always highlight the health risks of delaying treatment or recare.","Delays can create real risks, and parents appreciate honesty delivered with care. Explaining those risks clearly helps them make informed, confident decisions.",,This can be a gentle but firm reality check. You've seen what happens when treatment is delayed. Tell them kindly.,"“If we delay this, there’s a chance it could develop into something more uncomfortable. We see better results when we get it taken care of early.",true
37,Front Desk,Cultural,Welcoming Presence,I always genuinely offer coffee or water to guardians after check in is complete,"Offer something simple, a coffee, a water, a smile. Those few seconds turn a transaction into a welcome",,"Hospitality disrupts anxiety. If you feel too busy to offer water, you are too busy. Pause, breathe, and make the offer.",,true
39,Front Desk,Clerical,Patient Record Maintenance,I always confirm insurance verification status prior to completing check-in.,Confirm insurance before you close the chart. It saves headaches later and tells families you’ve already handled the details.,,"Verification is the gatekeeper. If you aren't sure if a plan is active, ask the Insurance Coordinator to verify it with you right now.",,true
40,Front Desk,Clerical,Communication Balancing,"I always answer phones within 3 rings, respond to texts within 3 minutes, and return emails within 3 hours.","Fast replies build confidence. When families know you’re responsive, they stop worrying if anyone’s paying attention.",,"Responsiveness is our brand. If you are missing these targets, you might be multitasking too much. Ask a colleague to watch your workflow for 10 mins and help spot the bottleneck.",,true
42,Front Desk,Clerical,Welcoming Environment,"I always thoroughly vaccuum the front area in the morning, before leaving for lunch, and at the end of the day.","Every detail families see tells a story. A spotless front area says, “we care about our space, and about you.”",,"A clean floor signals a clean clinic. If this slips, check your Closing Checklist routine. Do you need to start 10 minutes earlier?",,true
44,Front Desk,Cultural,Empathetic Practice Policy Education,I always communicate the importance of attendance and ask whether we can count on them to be there when booking any appointment.,Turn confirmation into partnership. Framing it as “can we count on you?” builds respect and accountability without pressure.,,"Can we count on you? is a psychological hook. If you feel awkward saying it, roleplay it with a peer today until it feels like a natural part of the conversation.","“Ok, I've got you down for Thursday at 11:00 am with Dr. Eduardo. We've got this time set aside just for you, can we count on you to be there?""",true
45,Front Desk,Clinical,Clinical Team Communication,I always inform the clinical team of existing or anticipated patient balance using the info board.,"Keep everyone in the loop. A quick note on the board prevents confusion, smooths handoffs, and helps families feel every detail’s handled.",,"The Board helps keep all of us on track. If you forget to write on it it, the clinical team can miss crucial information. Set a mental trigger: Check-in isn't done until the Board is written.",,true
46,Front Desk,Cultural,Trust Building Interactions,I always call the guardian and patient by their preferred name (not kiddo or mom),"Names are powerful. Using them turns routine interactions into real connection, small word, big signal of respect.",,,,true
47,Front Desk,Clinical,Daily Schedule Adaptability,"If we are running more than 10 minutes behind schedule, I always gently communicate that to the families in my waiting room one at a time, and assure them that we are working diligently to catch up.","A short, sincere update matters more than a perfect schedule. Let families know you see the delay, you care, and you’re working to make it right.",,"Ignoring a delay makes it worse. Go into the lobby right now and give a 30-second update to anyone waiting. I see you, and we're hurrying goes a long way.","Thank you for your patience, we’re running just a few minutes behind. Our team is working quickly to get you seated soon. I really appreciate your understanding.",true
48,Front Desk,Clinical,Fundamental Dental Knowledge,I am able to list the procedures that are most commonly denied by each insurance,"Understand what insurance often pushes back on, it keeps conversations honest. Setting clear expectations early builds trust fast.",,Don't let insurance surprises hurt the patient relationship. Review the Common Denials cheat sheet with the Office Manager so you can warn parents upfront.,,true
49,Front Desk,Case Acceptance,Treatment Communication,I am able to calmly and confidently provide aftercare instructions for all common procedures.,"Speak like you’ve done it a hundred times. Calm, clear aftercare makes families feel safe, confident, and cared for long after they leave.",,"You are the final voice of care. Read the Aftercare Script for fillings out loud. If you stumble, practice it one more time. Clarity prevents callbacks.",,true
50,Front Desk,Case Acceptance,Effective Objection Handling,"I always explain that having insurance info up front will contribute to a smooth visit, and I offer to wait while families gather that information.",We want to take every opportunity to gather our clerical requirements. A little extra time up front saves us from scrambling or rushing when they're with us in person,,It's not about money; it's about a smooth visit. Try saying: I want to make sure you don't get stuck with a bill later. It frames the request as a favor to them.,"“If I can grab that insurance information from you now, it’ll make your visit go much smoother. I'm happy to wait while you find it.""",true
51,Front Desk,Cultural,Handling Critical Feedback,"When presented with critical feedback, I actively acknowledge my personal or our collective role in the situation.","Teams grow when people own their part. Admit what’s true, skip the spin, and help fix it fast.",,Defensiveness kills trust. Try the Two Words ownership trick: I apologize. Ask the Office Manager how they handle valid complaints without over-promising.,"“You’re right, I could’ve double-checked that earlier. I’ll make sure it’s corrected moving forward.”",true
52,Front Desk,Case Acceptance,Establishing Credibility,"I am able to list the innovative technologies, materials, and processes our practice uses and explain how they lead to positive health outcomes.","Families love hearing what makes your office stand out. Share it with pride, your confidence helps them trust the quality of care.",,"You don't need to be an engineer, just a fan. Ask a Lead: What is one cool thing about our laser/scanner that I can tell parents? Use that fact today.",,true
53,Front Desk,Case Acceptance,Facilitating Smooth Processes,I always verbally preview the excellent service to expect during an exceptional visit when booking an appointment.,Give them a glimpse of what’s ahead. A confident preview sets high expectations and shows that great service is standard here.,,Set the stage. Saying You're going to love Dr. Smith creates a placebo effect of a good visit. Say it to the next patient you book.,"Awesome, so we've got you fully booked. You can expect us to do a full exam and cleaning, take x rays so that we can have a baseline for your kiddo's oral health, and you'll be spending time with Dr. Mary who will help outline what our continued care might look like. We're really excited to have you joining us.",true
54,Front Desk,Clinical,Patient Flow Coordination,"When two or more families arrive within 3 minutes, I always note arrival order and suggest a pull order to the clinical team (“A then B”) using the tablets to keep the lobby moving.",,,"You are the air traffic controller. Don't just check them in; sequence them. Explicitly tell the back: Family A arrived first, please seat them before Family B.",,true
55,Front Desk,Cultural,Empathetic Practice Policy Education,I always inform patients of outstanding balances during appointment confirmation preparing them for that balance to be collected at check in.,Be upfront before they arrive. Transparency turns a potential awkward moment into one of trust and professionalism.,,Money conversations are hard but necessary. Don't surprise them at the desk. Practice the Pre-Call script: Just a heads up on that balance... so they arrive prepared.,"“Just a quick heads up, you have a balance of $26 from your last visit, we’ll take care of that when you check in on Thursday.”",true
56,Dental Assistant,Clinical,Sterilization and Procedure Preparation,I always set up the tray for the scheduled procedure and any likely alternatives before bringing the patient back.,"Preparing the full tray in advance keeps appointments smooth and prevents scrambling once the patient is seated. It creates confidence for the doctor, the patient, and for you.",,Scrambling mid-procedure causes stress. Setup everything (including the 'just in case' items) before the patient enters. Check your setup against the visual guide.,,true
57,Dental Assistant,Cultural,Trust Building Interactions,I always ask the patient a curious open-ended question as I am seating them,"Simple, curious questions help kids feel seen and ease into the visit. It turns the room into a friendlier place and helps you build trust early.",,"Distraction starts with connection. Ask about a pet, a sport, or a shoe color. Any topic other than teeth helps the child settle in.",,true
58,Dental Assistant,Clerical,Patient Record Management,I always accurately enter patient's height and weight in the proper units and double check for errors before seating them.,Accurate measurements matter for safe dosing and charting. Double-checking helps you avoid mistakes and keeps the appointment on track.,,"Dosage depends on this. If the scale looks off, re-weigh them. Accuracy here prevents medication errors.",,true
59,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,I always notice and verbally affirm specific positive behaviors during clinical activities,,,Catch them being good. Don't wait for the end. Say Great job holding open every 60 seconds. It reinforces the behavior you want.,,true
60,Dental Assistant,Clerical,Coordinating Patient Flow,"When I notice that I’m starting an appointment more than 10 minutes late, I check with the Lead RDA before starting so that I understand the plan to get back on track.",Time warnings help you stay ahead of delays. Looping in the lead quickly keeps the day flowing and prevents small issues from becoming big bottlenecks.,,,,true
61,Dental Assistant,Cultural,Demonstrating Emotional Intelligence,Before beginning a clinical activity I tell the patient that they can raise their hand to ask me to pause at any time,"Giving kids permission to pause puts them back in control. It lowers fear, builds trust, and helps the whole visit feel more predictable.",,Control reduces pain. Tell the child: Raise your left hand if you need a break. It makes them feel safe enough to cooperate.,"“If you ever need me to stop or take a break, just raise your hand and I’ll pause right away.”",true
62,Dental Assistant,Clinical,Mastery of Dental Procedures,I always anticipate the next instrument the doctor will need and have it in hand before the doctor asks for it.,Smooth assisting feels almost choreographed. Anticipating the doctor’s needs creates a seamless experience for the patient and keeps procedures efficient.,,"Stay one step ahead. Watch the Doctor's eyes, not just their hands. If they look at the composite, have the curing light ready.",,true
63,Dental Assistant,Clerical,Office Task Management,When I have 45 minutes or more between patients I always use that time to send messages to the Reschedule list to help fill the schedule.,Small pockets of time add up. Using those moments to reach out to the Reschedule list keeps the day efficient and helps patients stay on track with needed care.,,,,true
64,Dental Assistant,Case Acceptance,Clear Treatment Communication,"After the doctor explains the treatment and leaves the chair, I always check for comprehension and clearly narrate next steps","When the doctor steps away, parents often still have questions. A quick, friendly recap ensures understanding and builds trust in the plan.",,"The unknown is scary. Tell them exactly what happens next: We go to the front, we sign one paper, and we book for Tuesday. Roadmap the exit.","“Just to make sure everything feels clear, here’s the plan Dr. Reyes went over: we’ll take care of that small cavity with a simple filling, and doing it now keeps it from turning into something more serious. The next step is finding a time this week that works for you — let’s get you set up before you head out.”",true
65,Dental Assistant,Clinical,Accurate Charting,"As the doctor calls out findings, I actively listen and accurately record correct conditions on correct teeth (both in note and charted on the odontogram)","Accurate charting helps the whole team deliver safe, consistent care. Listening closely and recording precisely avoids errors and protects the patient record.",,"Listen for the code. If the Doctor mumbles, ask them to repeat. Charting Watch vs Treat changes the entire treatment plan.",,true
66,Dental Assistant,Clerical,Clerical Procedure Requirements,After taking an x-ray I always label the teeth in the images before leaving the workstation,Labeling images immediately keeps records clear and helps the doctor diagnose without delay. It also prevents mix-ups later in the day.,,Data without labels is useless. Tag the teeth numbers immediately after exposure. Unlabeled mounts confuse the whole clinical team.,,true
67,Dental Assistant,Cultural,Empathetic Practice Policy Education,"Except in extreme cases, I always request that all families leave us a Google review after their appointment, and direct them to the QR code to scan.",Google reviews are a huge part of families discovering our excellent care. We ask for them to help make sure other people can find us and get great oral healthcare. ,,"Compliments don't count; reviews do. If they say You guys are great, reply: The best way to thank us is scanning this QR code.","""I hope you had a positive experience today. We're really proud of the care we offer, and I wonder if you'd be willing to leave us a Google review so that other families like yours can find us and get the same great care. I have a QR code right here that you can scan to make it super easy.""",true
68,Dental Assistant,Case Acceptance,Effective Objection Handling,I always link the dentist’s recommended treatment to the parent's desired outcome for their child,"Parents care most about the end result—linking the treatment to their goals helps everything make sense. When you make that connection clear, it builds trust and keeps the path forward focused on what matters to them.",,Connect the dot to their goal. You said you wanted to avoid pain for him? This filling stops the pain before it starts.,"“I know you said one of your goals is to help her avoid future cavities, this sealant is the first step that gets us there.”",true
69,Dental Assistant,Cultural,Handling Constructive Feedback,"After restating critical feedback, I always use the phrase ""tell me more"" and actively listen to the response.",“Tell me more” opens the door for clarity. It signals that you’re not defending—you’re understanding. Active listening helps families feel heard and respected.,,"Curiosity cures conflict. If a parent is upset, lean in. Tell me more about that. Let them vent before you solve.","I can see that you're frustrated, can you tell me more about why?",true
70,Dental Assistant,Case Acceptance,Establishing Credibility,"When pulling up radiographs prior to doctor's arrival, I always highlight OVERJET, and explain the benefits to the patient.","By speaking confidently about the technology we use, it gives us credibility and authority.",,We're a cutting edge practice. Highlight this to make that clear.,"We actually use an AI powered X ray tool called Overjet. It's cutting edge technology that lets us identify issues earlier, and present them more easily to you.",true
73,Dental Assistant,Case Acceptance,Effective Objection Handling,"When hesitation surfaces, I always identify the primary concern, comfort, time, or cost, so I can respond to the right thing.",You're likely the first person to hear about a worry. That means you're the most likely to understand exactly where it's coming from.,,"Don't be afraid to slow down, ask questions, and help the parent feel heard about whatever their concern is.",,true
74,Front Desk,Clinical,Patient Flow Coordination,"I always write name, age, and any patient portion on the board after finishing check-in, and hand it directly to an available RDA.","Keep the board clean and color-coded, it’s how the team stays synced, we always hand it off to make sure that the back knows that a patient is ready.",,,,true
75,Front Desk,Clerical,Strategic Scheduling,I always use the CareStack list function to identify and contact 10 patients per empty treatment slot.,Use your tools like a pro. Ten quick contacts can turn an empty slot into a full day and make your schedule much healthier.,,Volume is the cure for empty chairs. Don't just call one; call ten. Use the Quick Fill list in CareStack to burn through numbers faster.,,true
76,Dental Assistant,Clinical,Accurate Charting,"As the doctor presents treatment options, I always actively listen, and accurately record all mutually agreed upon treatment.","Documenting agreed treatment clearly supports scheduling, billing, and follow-up care. Precise notes prevent confusion and keep the patient journey smooth.",,"Capture the agreement. If the parent agrees to the sealant but declines the fluoride, mark it immediately. Don't rely on memory.",,true
77,Dental Assistant,Case Acceptance,Clear Treatment Communication,I always invite the guardian to share back the key parts of the post-op plan to confirm their understanding and comfort with next steps.,A brief teach-back helps you catch misunderstandings early. It makes parents feel supported while ensuring their child’s recovery stays on track.,,"Verify understanding. Ask: Just so I know I explained it right, what is the plan for dinner tonight? (Soft foods/etc).","“Just to make sure I explained everything clearly, what will tonight look like for you two? What are the top things you’ll plan to do or not do after the numbing wears off?”",true
78,Dental Assistant,Clerical,Clerical Procedure Requirements,"For all patients, I always verify that the adult with them is listed on the Authorized Individual Form before beginning the appointment","Checking authorization keeps every interaction safe and compliant. This quick verification protects patients, families, and the practice.",,"Protect the minor. If Grandma brings the child, check the Authorized list before you talk about medical history. HIPAA matters.",,true
79,Front Desk,Clinical,Clinical Team Communication,I always transfer appointment related call summaries from VoiceStack into the patient memo.,Notes tell the story between calls and visits. Keep them updated so every teammate knows what’s already been said and what comes next.,,"If it's not in the note, it didn't happen. If you struggle to transfer notes, do it while you are on the phone, not after.",,true
80,Front Desk,Clerical,Communication Balancing,"I always complete all items in the VoiceStack ""To-Do"" list before the end of the day every day.","Finish what you start. A clear To-Do list means clean communication, no loose ends, and zero “Did anyone handle that?” moments.",,Clear the deck. Leaving tasks for tomorrow creates a debt that slows you down. Knock out the 3 easiest tasks on your list right now.,,true
82,Front Desk,Clinical,Daily Schedule Adaptability,"When I receive a same-day emergency call, I adjust schedules to accommodate, verify insurance if i can, and prepare patient to pay the 'Standard Limited Exam Fee' if I cannot.","Emergencies test your calm. Act fast, stay clear, and keep patients informed so the day stays under control, even when it’s not.",,Empathy + Boundary. You can care about their pain while being firm about the fee. Ask a Lead to roleplay the Limited Exam Fee conversation with you.,"I definitely want to make sure we can get you seen today, that's important! I'm going to do my best to get your insurance verified, but just a heads up that if I can't, there is a fee of $125 for the limited exam. This will include the exam and price for any x-rays the Doctor might need to take.",true
83,Dental Assistant,Cultural,Demonstrating Emotional Intelligence,"When I notice my own stress rising, I always pause for one deep breath to center myself before speaking or acting.","A quick reset protects the room from tension. One calm breath helps you show up with patience, clarity, and kindness—even in busy moments.",,"You can't pour from an empty cup. If you are frustrated, turn away for 3 seconds, breathe in for 4, out for 4. Reset before you re-engage.",,true
85,Dental Assistant,Case Acceptance,Effective Objection Handling,"When cost is a concern, I explain that the doctor has prioritized what’s most important to do first but that we can plan the rest in safe stages. I communicate the worries with the treatment coordinator.","Cost worries are normal. Staying calm and explaining that the doctor has already prioritized the safest order helps families feel supported—not pressured. Handing off to the treatment coordinator keeps the conversation clear, kind, and organized.",,"Don't negotiate clinical need. Validate the cost, then hand off. I know it's an investment. Let's have the Treatment Coordinator see how to fit this into your budget.","“Dr. Alex put this in order of what needs to happen first, and we can definitely do the rest in stages. Our treatment coordinator will walk through the options with you before you leave, how does that sound?",true
86,Front Desk,Case Acceptance,Effective Objection Handling,I always respond to cost concerns by higlighting all flexible payment options available.,"When money comes up, people tense up. Your calm, confident tone, and a clear list of options, turns a hard moment into a trust moment.",,Cost fear is real. Don't just list prices; offer solutions. Review the CareCredit and Payment Plan talking points today so you can offer them fluently.,"We completely understand. Many families use CareCredit, a third party financing company, to facilitate a payment plan option. Would you like more information on this?",true
88,Front Desk,Cultural,Empathetic Practice Policy Education,"Even if confirmed, I always call all treatment visits for the following day, review NPO guidelines, and communicate the importance of their attendance.","A reminder call isn’t just logistics, it’s reassurance. It shows families you’re invested in their visit and that every appointment matters.",,"A confirmation call is a medical safety check. If you feel rushed, pause. This call prevents the Sorry, we can't treat you conversation tomorrow.","“Hi, just calling to confirm tomorrow’s appointment. Please remember no food or drink after midnight so everything goes smoothly. We’re looking forward to seeing you!”",true
